"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-06-18 00:00:00,,,信息,,,启动多交易对现货短线程序化操作策略程序...
2018-06-18 00:00:00,,,信息,,,准备解析传入的JSON参数...
2018-06-18 00:00:00,,,信息,,,JSON格式检测通过...
2018-06-18 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2018-06-18 00:00:00,,,信息,,,匹配到交易对： Huobi/BCH_BTC
2018-06-18 00:00:00,,,信息,,,Huobi/BCH_BTC 交易对接收参数如下：买入金额数量限制 28 ，当前持仓价格为， 0.093947 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，调试开关 1
2018-06-18 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2018-06-18 00:00:00,,,信息,,,开始执行主事务程序...
2018-06-18 00:00:00,,,信息,,,开始操作 Huobi/BCH_BTC 交易对...
2018-06-18 00:00:01,,,信息,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.130784 ，持仓价值 0
2018-06-18 00:00:01,,,信息,,,启动熊市短线策略，当前交叉数为 -31 ，现在进行行情数据的读取和分析。
2018-06-18 00:00:01,,,信息,,,当前是 震荡整理 行情，交叉数为 -31 ，当前K线类型为 0
2018-06-18 00:00:01,,,信息,,,检测当前是否可以在死叉区域买入
2018-06-18 00:00:01,,,信息,,,在熊市持续下跌行情下，检测是否可以抄底买入
2018-06-18 00:00:01,,,信息,,,当前没有建仓，交叉数为 -31 ，但当前没有达到底部建仓条件，继续观察行情。
2018-06-18 00:00:21,,,信息,,,开始操作 Huobi/BCH_BTC 交易对...
2018-06-18 00:00:21,,,信息,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1307915 ，持仓价值 0
2018-06-18 00:00:21,,,信息,,,启动熊市短线策略，当前交叉数为 -31 ，现在进行行情数据的读取和分析。
2018-06-18 00:00:21,,,信息,,,当前是 震荡整理 行情，交叉数为 -31 ，当前K线类型为 -1
2018-06-18 00:00:21,,,信息,,,检测当前是否可以在死叉区域买入
2018-06-18 00:00:21,,,信息,,,在熊市持续下跌行情下，检测是否可以抄底买入
2018-06-18 00:00:21,,,信息,,,当前没有建仓，交叉数为 -31 ，但当前没有达到底部建仓条件，继续观察行情。
2018-06-18 00:00:41,,,信息,,,开始操作 Huobi/BCH_BTC 交易对...
2018-06-18 00:00:42,,,信息,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.130789 ，持仓价值 0
2018-06-18 00:00:42,,,信息,,,启动熊市短线策略，当前交叉数为 -31 ，现在进行行情数据的读取和分析。
2018-06-18 00:00:42,,,信息,,,当前是 震荡整理 行情，交叉数为 -31 ，当前K线类型为 -1
2018-06-18 00:00:42,,,信息,,,检测当前是否可以在死叉区域买入
2018-06-18 00:00:42,,,信息,,,在熊市持续下跌行情下，检测是否可以抄底买入
2018-06-18 00:00:42,,,信息,,,当前没有建仓，交叉数为 -31 ，但当前没有达到底部建仓条件，继续观察行情。
2018-06-18 00:01:02,,,信息,,,开始操作 Huobi/BCH_BTC 交易对...
2018-06-18 00:01:03,,,信息,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.130794 ，持仓价值 0
2018-06-18 00:01:03,,,信息,,,启动熊市短线策略，当前交叉数为 -31 ，现在进行行情数据的读取和分析。
2018-06-18 00:01:03,,,信息,,,当前是 震荡整理 行情，交叉数为 -31 ，当前K线类型为 -1
2018-06-18 00:01:03,,,信息,,,检测当前是否可以在死叉区域买入
2018-06-18 00:01:03,,,信息,,,在熊市持续下跌行情下，检测是否可以抄底买入
2018-06-18 00:01:03,,,信息,,,当前没有建仓，交叉数为 -31 ，但当前没有达到底部建仓条件，继续观察行情。
2018-06-18 00:01:23,,,信息,,,开始操作 Huobi/BCH_BTC 交易对...
2018-06-18 00:01:40,,,信息,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.130695 ，持仓价值 0
2018-06-18 00:01:40,,,信息,,,启动熊市短线策略，当前交叉数为 -31 ，现在进行行情数据的读取和分析。
2018-06-18 00:01:40,,,信息,,,当前是 震荡整理 行情，交叉数为 -31 ，当前K线类型为 -10
2018-06-18 00:01:40,,,信息,,,检测当前是否可以在死叉区域买入
2018-06-18 00:01:40,,,信息,,,在熊市持续下跌行情下，检测是否可以抄底买入
2018-06-18 00:01:40,,,信息,,,当前没有建仓，交叉数为 -31 ，但当前没有达到底部建仓条件，继续观察行情。
2018-06-18 00:02:00,,,信息,,,开始操作 Huobi/BCH_BTC 交易对...
2018-06-18 00:02:01,,,信息,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1307148 ，持仓价值 0
2018-06-18 00:02:01,,,信息,,,启动熊市短线策略，当前交叉数为 -31 ，现在进行行情数据的读取和分析。
2018-06-18 00:02:01,,,信息,,,当前是 震荡整理 行情，交叉数为 -31 ，当前K线类型为 -6
2018-06-18 00:02:01,,,信息,,,检测当前是否可以在死叉区域买入
2018-06-18 00:02:01,,,信息,,,在熊市持续下跌行情下，检测是否可以抄底买入
2018-06-18 00:02:01,,,信息,,,当前没有建仓，交叉数为 -31 ，但当前没有达到底部建仓条件，继续观察行情。
2018-06-18 00:02:21,,,信息,,,开始操作 Huobi/BCH_BTC 交易对...
2018-06-18 00:02:40,,,信息,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.130596 ，持仓价值 0
2018-06-18 00:02:40,,,信息,,,启动熊市短线策略，当前交叉数为 -31 ，现在进行行情数据的读取和分析。
2018-06-18 00:02:40,,,信息,,,当前是 震荡整理 行情，交叉数为 -31 ，当前K线类型为 -10
2018-06-18 00:02:40,,,信息,,,检测当前是否可以在死叉区域买入
2018-06-18 00:02:40,,,信息,,,在熊市持续下跌行情下，检测是否可以抄底买入
2018-06-18 00:02:40,,,信息,,,当前没有建仓，交叉数为 -31 ，但当前没有达到底部建仓条件，继续观察行情。
2018-06-18 00:03:00,,,信息,,,开始操作 Huobi/BCH_BTC 交易对...
2018-06-18 00:03:01,,,信息,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1306158 ，持仓价值 0
2018-06-18 00:03:01,,,信息,,,启动熊市短线策略，当前交叉数为 -31 ，现在进行行情数据的读取和分析。
