"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-03-11 13:00:00,,,ui.log.type.message,,,启动多交易对现货短线程序化操作策略程序...
2018-03-11 13:00:00,,,ui.log.type.message,,,准备解析传入的JSON参数...
2018-03-11 13:00:00,,,ui.log.type.message,,,JSON格式检测通过...
2018-03-11 13:00:00,,,ui.log.type.message,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2018-03-11 13:00:00,,,ui.log.type.message,,,匹配到交易对： Huobi/BCH_BTC
2018-03-11 13:00:00,,,ui.log.type.message,,,Huobi/BCH_BTC 交易对接收参数如下：买入金额数量限制 28 ，当前持仓价格为， 0.093947 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，调试开关 1
2018-03-11 13:00:00,,,ui.log.type.message,,,成功匹配到 1 个交易对。
2018-03-11 13:00:00,,,ui.log.type.message,,,开始执行主事务程序...
2018-03-11 13:00:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:00:00,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:00:00,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.114066 ，持仓价值 0
2018-03-11 13:00:00,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 0
2018-03-11 13:00:00,,,ui.log.type.message,,,当前没有建仓，但当前没有达到建仓条件，继续观察行情。
2018-03-11 13:00:00,,,ui.log.type.message,,,金叉之后10根K线内都没有建仓，放弃建仓，除非行情突然爆好再放开。
2018-03-11 13:00:20,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:00:20,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:04:50,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.114177 ，持仓价值 0
2018-03-11 13:04:50,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 7
2018-03-11 13:04:50,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:04:50,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.0147533261640462  >1.02
2018-03-11 13:05:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:05:10,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:09:50,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.114291 ，持仓价值 0
2018-03-11 13:09:50,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 7
2018-03-11 13:09:50,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:09:50,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.0157665063945893  >1.02
2018-03-11 13:10:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:10:10,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:10:20,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1142692 ，持仓价值 0
2018-03-11 13:10:20,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 10
2018-03-11 13:10:20,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:10:20,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.0155727578943625  >1.02
2018-03-11 13:10:40,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:10:40,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:10:41,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1142535 ，持仓价值 0
2018-03-11 13:10:41,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 10
2018-03-11 13:10:41,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:10:41,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.0154332234240158  >1.02
2018-03-11 13:11:01,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:11:01,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:11:01,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.114285 ，持仓价值 0
2018-03-11 13:11:01,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 10
2018-03-11 13:11:01,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:11:01,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.0157131811192974  >1.02
2018-03-11 13:11:21,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:11:21,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:11:40,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.114252 ，持仓价值 0
2018-03-11 13:11:40,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 10
2018-03-11 13:11:40,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:11:40,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.015419892105193  >1.02
2018-03-11 13:12:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:12:00,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:12:01,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1142586 ，持仓价值 0
2018-03-11 13:12:01,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 10
2018-03-11 13:12:01,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:12:01,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.015478549908014  >1.02
2018-03-11 13:12:21,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:12:21,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:12:40,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.114219 ，持仓价值 0
2018-03-11 13:12:40,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 10
2018-03-11 13:12:40,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:12:40,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.0151266030910884  >1.02
2018-03-11 13:13:00,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:13:00,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:13:01,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1142256 ，持仓价值 0
2018-03-11 13:13:01,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 10
2018-03-11 13:13:01,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:13:01,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.0151852608939094  >1.02
2018-03-11 13:13:21,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:13:21,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:13:50,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.114186 ，持仓价值 0
2018-03-11 13:13:50,,,ui.log.type.message,,,当前上行行情，交叉数为 31 ，当前K线类型为 10
2018-03-11 13:13:50,,,ui.log.type.message,,,当前没有建仓，但限制了买入，继续观察行情。
2018-03-11 13:13:50,,,ui.log.type.message,,,0.9968362727447518  > 1.01 &&  1.0148333140769839  >1.02
2018-03-11 13:14:10,,,ui.log.type.message,,,开始操作 Huobi/BCH_BTC 交易对...
2018-03-11 13:14:10,,,ui.log.type.message,,,启动熊市短线策略，现在进行行情数据的读取和分析。
2018-03-11 13:14:11,,,ui.log.type.message,,,交易对情况：余额 30.00000000 ，持币数 0.00000000 ，持仓均价 0.093947 ，持仓成本 0 ，当前币价 0.1142077 ，持仓价值 0
